batter,team,pa,OUT,BB,1B,2B,3B,HR
"Kessler, David",CAP_CAT,40,0.5707,0.15,0.21330000000000002,0.031100000000000003,0.028599999999999993,0.006299999999999998
"Kiper, Christian",THR_THR1,44,0.5484545454545455,0.1590909090909091,0.22413636363636363,0.026272727272727277,0.02731818181818182,0.014727272727272726
"Kirk, Kannon",SPR_LUC,38,0.751470054446461,0.05263157894736842,0.16197822141560797,0.029346642468239568,2.722323049001816e-4,0.004301270417422867
"Krebs, Lucas",BUR_BEE1,53,0.530211590296496,0.22641509433962267,0.17032614555256068,0.02798382749326146,0.015985175202156334,0.029078167115902963
"Kuska, Michael",NOR_COR,32,0.567625,0.15625,0.18762500000000001,0.08762500000000001,8.750000000000001e-4,0
"Lafferty, Austin",JOH_MIL,47,0.5783191489361702,0.19148936170212766,0.13072765957446808,0.06455035460992907,0.019303546099290782,0.015609929078014183
"Letamendi, Eduardo",THR_THR1,36,0.7410555555555556,0.05555555555555555,0.12138888888888888,0.05205555555555556,0.0035555555555555553,0.026388888888888892
"Makarus, Ayden",JAC_ROC,34,0.34036764705882355,0.5000000000000001,0.1223529411764706,0.011764705882352941,0.024117647058823535,0.001397058823529412
"Marsh, Ty",JOH_MIL,46,0.7088111413043479,0.043478260869565216,0.16144701086956523,0.0485054347826087,0.01588315217391305,0.021875
"Martin, Logan",JOH_MIL,33,0.6352727272727272,0.09090909090909091,0.22472727272727272,0.046121212121212125,0.00296969696969697,0
"Martinez, Bynum",QUI_DOG,30,0.5826666666666667,0.13333333333333333,0.26199999999999996,0.016466666666666664,0.0035999999999999995,0.001933333333333333
"McCrossin, Nolan",NOR_COR,47,0.5746808510638297,0.14893617021276595,0.23085106382978723,0.03961702127659575,0.0018723404255319156,0.00404255319148936
"Mcghee, Jake",O'F_HOO,43,0.5232868217054263,0.20930232558139536,0.19725891472868218,0.03869767441860465,0.019150387596899222,0.012303875968992246
"Meyer, Sam",CHI_PAI,41,0.5053658536585366,0.1951219512195122,0.24180487804878048,0.04273170731707317,0.00897560975609756,0.005999999999999999
"Mishler, Jackson",CLI_LUM1,35,0.4867292517006802,0.22857142857142856,0.20678095238095237,0.01182857142857143,0.008136054421768707,0.057953741496598654
"Moser, Adam",ALT_RIV,31,0.6870193548387097,0.22580645161290322,0.0681290322580645,0.01788387096774194,0,0.0011612903225806453
"Murphy, Carter",TER_HAU,46,0.602608695652174,0.19565217391304351,0.11891304347826086,0.023826086956521744,0.004130434782608695,0.05486956521739131
"Newman, Jack",JOH_MIL,42,0.4840309523809524,0.21428571428571427,0.1653261904761905,0.06987619047619048,0.003942857142857143,0.06253809523809524
"Nina, Adrian",SPR_LUC,30,0.5273333333333334,0.2,0.23366666666666666,0.03266666666666667,0.003666666666666666,0.002666666666666667
"Novacek, Griffin",SPR_LUC,43,0.4178212974296206,0.32558139534883723,0.09444308445532436,0.07383108935128518,0.004895960832313341,0.08342717258261934
"Novominsky, Matthew Alan",DEC_BEA,35,0.4843542857142856,0.3142857142857142,0.11471999999999997,0.022919999999999996,0.014339999999999997,0.049379999999999986
